feature,importance
"defense_personnel_3 CB, 2 DE, 2 DT, 2 FS, 1 MLB, 1 SS",8.280624022603722e-05
"offense_personnel_1 C, 2 G, 2 QB, 1 RB, 2 T, 1 TE, 2 WR",8.257026981710786e-05
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 1 MLB, 2 SS",8.17005024354868e-05
"defense_personnel_3 CB, 2 DT, 1 FS, 1 ILB, 2 OLB, 2 SS",8.143318224786244e-05
"defense_personnel_2 CB, 1 DE, 2 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",8.103737502589073e-05
"defense_personnel_2 CB, 2 DE, 2 FS, 3 ILB, 1 OLB, 1 SS",8.091893621655277e-05
"defense_personnel_3 CB, 2 DE, 1 DT, 2 MLB, 1 NT, 2 SS",8.067388024886632e-05
"defense_personnel_2 CB, 2 DE, 2 DT, 1 FS, 1 MLB, 2 OLB, 1 SS",8.048358427324698e-05
"defense_personnel_3 CB, 2 DE, 2 FS, 2 ILB, 1 NT, 1 OLB",7.874768814164743e-05
"defense_personnel_2 CB, 1 DE, 2 DT, 2 ILB, 2 OLB, 2 SS",7.801534284064421e-05
"defense_personnel_2 CB, 2 DT, 2 FS, 2 ILB, 2 OLB, 1 SS",7.621312508606241e-05
"defense_personnel_2 CB, 1 DE, 2 FS, 3 ILB, 2 NT, 1 OLB",7.620510158823925e-05
"defense_personnel_3 CB, 3 DE, 1 DT, 2 FS, 1 OLB, 1 SS",7.556288078800009e-05
"defense_personnel_5 DL, 5 LB, 1 DB",7.474207130727738e-05
"offense_personnel_2 QB, 1 RB, 1 TE, 2 WR",7.4426693781083e-05
"defense_personnel_3 CB, 2 DE, 1 DT, 2 FS, 1 MLB, 2 OLB",7.334958883226479e-05
"defense_personnel_3 CB, 2 DE, 2 DT, 2 FS, 1 ILB, 1 OLB",7.321200327272365e-05
"defense_personnel_2 CB, 3 DE, 1 DT, 2 FS, 2 ILB, 1 SS",7.304133596070257e-05
"defense_personnel_3 CB, 1 DE, 1 FS, 1 ILB, 2 NT, 2 OLB, 1 SS",7.207398140964563e-05
"defense_personnel_3 CB, 3 DE, 1 DT, 1 FS, 2 OLB, 1 SS",7.191177680799301e-05
"defense_personnel_1 CB, 1 DT, 3 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",7.154711120567734e-05
"defense_personnel_3 CB, 3 DE, 1 FS, 3 ILB, 1 SS",7.100143181642239e-05
"offense_personnel_1 C, 3 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.090984847760857e-05
"defense_personnel_2 CB, 2 DE, 3 DT, 1 FS, 1 MLB, 2 SS",6.991767866943624e-05
"defense_personnel_3 CB, 1 DE, 1 DT, 2 FS, 2 ILB, 1 OLB, 1 SS",6.944507397481162e-05
"defense_personnel_2 CB, 1 DE, 2 DT, 2 FS, 2 ILB, 1 NT, 1 OLB",6.930719358817307e-05
